aod,lst,soil_moisture,pm10,pm25,O3,NDVI,elevation,surface_pressure
0.113,20.85,0.3046273291110992,71.0,136.0,0.1083296997378087,0.0843254509374999,1353,84141.17578125
0.206,19.95,0.2945503890514374,69.0,133.0,0.1100970879197486,0.084251170625,1353,84009.10546875
0.247,19.95,0.2945503890514374,69.0,133.0,0.1100970879197486,0.084251170625,1353,84009.10546875
0.292,20.25,0.2874540388584137,82.0,139.0,0.1080960035324839,0.0841768903124999,1353,84150.4765625
0.285,20.25,0.2874540388584137,82.0,139.0,0.1080960035324839,0.0841768903124999,1353,84150.4765625
0.3,21.45,0.2797444462776184,77.0,146.0,0.1079346910119798,0.083560344375,1353,84057.828125
0.342,21.45,0.2797444462776184,77.0,146.0,0.1079346910119798,0.083560344375,1353,84057.828125
0.294,20.57,0.3228788077831268,179.0,128.0,0.1092468574642285,0.08301807875,1353,83980.1953125
0.273,20.57,0.3228788077831268,179.0,128.0,0.1092468574642285,0.08301807875,1353,83980.1953125
0.285,21.09,0.3232020437717438,151.0,136.0,0.1155048453149939,0.0824758131249999,1353,84051.109375
0.333,21.09,0.3232020437717438,151.0,136.0,0.1155048453149939,0.0824758131249999,1353,84051.109375
0.332,19.73,0.3001216948032379,125.0,151.0,0.1171816065907867,0.0819335475,1353,84092.50390625
0.199,19.73,0.3001216948032379,125.0,151.0,0.1171816065907867,0.0819335475,1353,84092.50390625
0.478,20.45,0.3307776749134063,114.0,156.0,0.1100950531790638,0.0808490162499999,1353,83800.75390625
0.561,20.45,0.3307776749134063,114.0,156.0,0.1100950531790638,0.0808490162499999,1353,83800.75390625
0.52,20.67,0.3338046669960022,69.0,148.0,0.1089165210724238,0.079764485,1353,83643.85546875
0.301,22.47,0.3057393133640289,171.0,138.0,0.1151137277483453,0.077053156875,1353,83846.98046875
0.389,16.93,0.3141592442989349,92.0,149.0,0.1139454618095465,0.0765108912499999,1353,83682.47265625
0.338,16.93,0.3141592442989349,92.0,149.0,0.1139454618095465,0.0765108912499999,1353,83682.47265625
0.455,20.47,0.3198533356189728,129.0,151.0,0.1187885627150402,0.075968625625,1353,84040.87109375
0.381,20.47,0.3198533356189728,129.0,151.0,0.1187885627150402,0.075968625625,1353,84040.87109375
0.45,21.59,0.3003232181072235,108.0,141.0,0.1195777356625372,0.07542636,1353,83963.78515625
0.348,21.59,0.3003232181072235,108.0,141.0,0.1195777356625372,0.07542636,1353,83963.78515625
0.459,21.97,0.2690469622611999,81.0,151.0,0.12407084117435,0.0765682018749999,1353,84185.2734375
0.493,23.05,0.2642864882946014,75.0,150.0,0.1190868318080768,0.07771004375,1353,84363.98046875
0.418,23.05,0.2642864882946014,75.0,150.0,0.1190868318080768,0.07771004375,1353,84363.98046875
0.677,24.09,0.2585147321224212,84.0,144.0,0.1150543546061113,0.0799937275,1353,84247.03515625
0.649,24.09,0.2585147321224212,84.0,144.0,0.1150543546061113,0.0799937275,1353,84247.03515625
0.549,21.83,0.2682358920574188,94.0,148.0,0.1153336614371087,0.081135569375,1353,84110.16796875
0.854,21.83,0.2682358920574188,94.0,148.0,0.1153336614371087,0.081135569375,1353,84110.16796875
0.428,21.27,0.2957735955715179,157.0,153.0,0.1158778594983248,0.083419253125,1353,83898.02734375
0.326,23.81,0.2892594635486603,129.0,162.0,0.1164678844482398,0.084561095,1353,83804.3515625
0.403,24.83,0.3183768987655639,59.0,152.0,0.1192299281230024,0.085702936875,1353,84109.92578125
0.438,24.83,0.3183768987655639,59.0,152.0,0.1192299281230024,0.085702936875,1353,84109.92578125
1.002,23.65,0.300700694322586,34.0,1.0,0.1260709762572653,0.087986620625,1353,84543.015625
0.892,28.81,0.2507630288600921,130.0,205.0,0.1295551657677587,0.127169605625,1353,84012.71484375
1.364,28.81,0.2507630288600921,130.0,205.0,0.1295551657677587,0.127169605625,1353,84012.71484375
1.085,27.99,0.2527356147766113,133.0,191.0,0.1300590783357012,0.126608285,1353,84019.75390625
1.052,27.99,0.2527356147766113,133.0,191.0,0.1300590783357012,0.126608285,1353,84019.75390625
1.221,29.97,0.2185594141483307,116.0,180.0,0.1299572392460418,0.126046964375,1353,83867.17578125
1.056,29.97,0.2185594141483307,116.0,180.0,0.1299572392460418,0.126046964375,1353,83867.17578125
0.93,30.77,0.2425598502159118,133.0,176.0,0.1285680871590636,0.123801681875,1353,83869.59765625
1.274,30.77,0.2425598502159118,133.0,176.0,0.1285680871590636,0.123801681875,1353,83869.59765625
1.52,28.71,0.2270295768976211,149.0,173.0,0.1287986338138035,0.12324036125,1353,84024.171875
1.017,29.65,0.1922207623720169,152.0,177.0,0.1301267445087865,0.122679040625,1353,83649.46875
1.831,29.65,0.1922207623720169,152.0,177.0,0.1301267445087865,0.122679040625,1353,83649.46875
1.325,32.75,0.1987614780664444,220.0,170.0,0.1285473577971196,0.12211772,1353,83393.98828125
1.874,32.75,0.1987614780664444,220.0,170.0,0.1285473577971196,0.12211772,1353,83393.98828125
0.373,33.91,0.2108071893453598,111.0,159.0,0.1303642243146345,0.12673546375,1353,83524.5546875
0.435,23.61,0.335638016462326,69.0,111.0,0.1264530569313972,0.1567507981249999,1353,83613.328125
0.336,30.95,0.2987993061542511,87.0,109.0,0.1255369806747631,0.15905967,1353,83563.109375
0.375,30.55,0.2551050186157226,130.0,138.0,0.123340219259303,0.1576390587499999,1353,83655.4453125
0.381,33.17,0.2470146417617797,184.0,136.0,0.1242879798082507,0.156928753125,1353,83700.86328125
0.493,33.17,0.2470146417617797,184.0,136.0,0.1242879798082507,0.156928753125,1353,83700.86328125
0.551,29.01,0.2030805498361587,124.0,142.0,0.1219089499656124,0.1562184475,1353,83668.921875
0.322,34.69,0.2145442217588424,125.0,144.0,0.1259926297709067,0.1555081418749999,1353,83907.8046875
0.421,34.69,0.2145442217588424,125.0,144.0,0.1259926297709067,0.1555081418749999,1353,83907.8046875
1.056,30.39,0.1999551057815551,92.0,159.0,0.1314102709293218,0.15479783625,1353,83926.58984375
1.22,30.39,0.1999551057815551,92.0,159.0,0.1314102709293218,0.15479783625,1353,83926.58984375
1.24,28.61,0.1910356134176254,108.0,155.0,0.1319680809975108,0.154087530625,1353,83890.3359375
1.027,23.69,0.3162586092948913,63.0,107.0,0.1275510489941067,0.14911539125,1353,83638.10546875
0.302,33.65,0.2553012073040008,65.0,111.0,0.122878305613899,0.1589486299999999,1353,83967.2421875
0.326,33.17,0.2238870859146118,90.0,130.0,0.1248497739435045,0.1617620924999999,1353,83600.5703125
0.36,36.05,0.2194513827562332,87.0,122.0,0.1304688900709585,0.16316882375,1353,83570.8515625
0.279,36.49,0.186909332871437,74.0,102.0,0.1307288900563764,0.16598228625,1353,83749.3671875
0.545,32.53,0.1758679449558258,62.0,118.0,0.1280951597224614,0.1687957487499999,1353,83620.87109375
0.382,36.69,0.1635935753583908,84.0,118.0,0.126398637890897,0.1715793612499999,1353,83351.75
0.508,29.13,0.2790713012218475,38.0,95.0,0.1232469826935762,0.177775326875,1353,83415.7578125
